subnum,congruency,direction,Response_Time,Response,Accuracy
1,0,0,,,-1
1,1,1,0.5272817720106104,z,1
1,1,1,0.538242649010499,z,1
1,0,1,0.36080645098991226,z,1
1,0,1,0.3609541170008015,z,1
1,0,1,0.3287170090043219,z,1
1,0,0,0.3655144070071401,slash,1
1,1,1,0.41200149299402256,z,1
1,1,0,0.4359378689987352,slash,1
1,0,1,0.35031641300884075,z,1
1,0,1,0.38418122300936375,z,1
1,0,1,0.3375213289982639,z,1
1,1,0,0.4192535809997935,slash,1
1,1,0,0.4840668370015919,slash,1
1,0,0,0.392037222001818,slash,1
1,0,0,0.34934965400316287,slash,1
1,0,1,0.39997743999992963,z,1
1,1,0,0.39890318500692956,slash,1
1,0,0,0.3730575649969978,slash,1
1,0,0,0.3702502809901489,slash,1
1,0,0,0.3505246389977401,slash,1
1,0,1,0.34933222699328326,z,1
1,0,1,0.35924912299378775,z,1
1,0,0,0.4036241990106646,slash,1
1,0,1,0.3269449590006843,z,1
1,0,1,0.35575485599110834,z,1
1,0,0,0.3657205689960392,slash,1
1,0,1,0.3382451789948391,z,1
1,0,1,0.39050649899581913,z,1
1,0,1,0.3887107449991163,z,1
1,0,1,0.3417148209991865,z,1
1,0,1,0.3224598469969351,z,1
1,0,0,0.3585937290044967,slash,1
1,0,0,0.28415222400508355,z,0
1,0,0,0.41690068900061306,slash,1
1,1,0,,,-1
1,0,0,0.3914432309975382,slash,1
1,0,0,0.3711544290126767,slash,1
1,0,0,0.359953162012971,slash,1
1,0,1,0.3417129799927352,z,1
1,0,0,0.31109915499109775,slash,1
1,1,0,0.4870116250094725,slash,1
1,0,0,0.35952125399489887,slash,1
1,0,0,0.3726261839910876,slash,1
1,0,1,0.3782560330000706,z,1
1,0,1,0.42465746600646526,z,1
1,0,1,0.3722398179961601,z,1
1,0,1,0.32601919800799806,z,1
1,0,0,0.39802960300585255,slash,1
1,0,0,0.37785584799712524,slash,1
1,1,1,0.3705333069956396,z,1
1,0,1,0.37586078100139275,z,1
1,0,1,0.3845260340021923,z,1
1,0,1,0.3253296990005765,z,1
1,1,1,0.23609729899908416,z,1
1,0,1,0.30709852000290994,z,1
1,0,0,0.22611865399812814,z,0
1,1,0,0.5013324780011317,slash,1
1,0,1,0.3380120719957631,z,1
1,0,0,0.3679889170016395,slash,1
1,0,1,0.3444180829974357,z,1
1,1,1,0.40097472599882167,z,1
1,0,1,0.36592940099944826,z,1
1,0,0,0.3584418980026385,slash,1
1,0,1,0.3034894809970865,z,1
1,1,1,0.45362342699081637,z,1
1,1,1,0.39728333699167706,z,1
1,0,1,0.3476109839975834,z,1
1,0,0,0.37359839999407995,slash,1
1,0,1,0.30299784199451096,z,1
1,0,0,0.27243146499677096,slash,1
1,0,1,0.313281234994065,z,1
1,0,0,0.36818373200367205,slash,1
1,0,1,0.27711871000065,z,1
1,0,1,0.3079971390106948,z,1
1,1,0,0.28857296299247537,z,0
1,0,0,0.3023069350019796,slash,1
1,0,1,0.31466180400457233,z,1
1,0,1,0.36850669799605384,z,1
1,0,0,0.3731373399932636,slash,1
1,0,0,0.40910997400351334,slash,1
1,0,0,0.453279676992679,slash,1
1,0,0,0.40329306600324344,slash,1
1,0,1,0.3072389829903841,z,1
1,0,1,0.3423640039982274,z,1
1,0,1,0.5065625669958536,z,1
1,1,1,0.3695908119989326,z,1
1,0,0,0.33689021700411104,slash,1
1,0,0,0.4160280670039356,slash,1
1,0,0,0.40114893099234905,slash,1
1,0,0,0.38149331900058314,slash,1
1,1,0,0.32016273800400086,z,0
1,0,0,0.3518319819995668,slash,1
1,1,1,0.3455742259975523,z,1
1,0,0,0.35972606399445795,slash,1
1,0,1,0.3395028250088217,z,1
1,0,0,0.3099500429962063,slash,1
1,0,0,0.41988750599557534,slash,1
1,1,0,0.3785216239921283,z,0
1,0,0,0.3693604940053774,slash,1
